ID,Status,Uptime,Country,Location,Ships,Distinct,Contributor
2079,,100 %,ÿCanada,Halifax,41,6, 
2376,,100 %,ÿUnknown,Roaming Station,41,3, 
2741,,100 %,ÿUnited States of America,Stanford,41,2, 
3095,,100 %,ÿPoland,Szczecin,41,3,ALERT PLUS ?nergetyka i ?elekomunikacja
2337,,100 %,ÿBrazil,Florianopolis,41,41, 
3543,,82 %,ÿCanada,Halifax,40,5, 
2525,,100 %,ÿItaly,Meta (Naples),40,37, 
2509,,100 %,ÿPortugal,Matosinhos,40,3,CEiiA - Centre of Engineering and Product Development
3032,,100 %,ÿSpain,Badalona,39,4, 
3347,,96 %,ÿNetherlands,Krimpen aan den IJssel,39,1, 
3217,,100 %,ÿUnited States of America,"Seattle, WA",39,6, 
3460,,75 %,ÿUnited States of America,"Everett, Washington",39,30, 
2627,,100 %,ÿUnited States of America,Groton CT,39,15, 
2316,,100 %,ÿGuernsey,Guernsey,39,2, 
2205,,100 %,ÿPortugal,Silves,38,12, 
3215,,100 %,ÿBelgium,Antwerp,38,0, 
2928,,100 %,ÿNorway,Hammerfest,38,12, 
3241,,100 %,ÿMorocco,Casablanca,38,38, 
2415,,100 %,ÿFrance,Brest,38,1, 
3658,,100 %,ÿUnited States of America,Cape May,37,29, 
2019,,100 %,ÿCanada,"Victoria, BC",37,4, 
2299,,100 %,ÿFrance,"Locmalo, Port-Louis",37,1, 
