ID;Status;Uptime;Country;Location;Ships;Distinct;Contributor;ships_rel;cum_ships_rel;dist_rel;
2731;;100 %; Ukraine;Kyiv;104;0; ;0,11 %;75,97 %;0,00 %;72,16 %
2649;;100 %; United Kingdom;Southampton;103;5; ;0,11 %;76,08 %;0,02 %;72,18 %
2163;;100 %; Australia;Koumala;102;59;;0,11 %;76,19 %;0,22 %;72,40 %
2117;;100 %; Indonesia;Bintulu, Sarawak;101;101; ;0,11 %;76,29 %;0,38 %;72,78 %
3168;;98 %; Poland;Gdańsk;101;5; ;0,11 %;76,40 %;0,02 %;72,80 %
2757;;100 %; United States of America;New Orleans;100;100; ;0,10 %;76,51 %;0,38 %;73,18 %
2018;;100 %; United Kingdom;Cowes;100;15; ;0,10 %;76,61 %;0,06 %;73,24 %
3269;;100 %; Netherlands;Bergen op Zoom;100;16; ;0,10 %;76,71 %;0,06 %;73,30 %
2708;;100 %; United Kingdom;Fareham;96;3; ;0,10 %;76,82 %;0,01 %;73,31 %
3950;;100 %; Netherlands;Amsterdam;96;2; ;0,10 %;76,92 %;0,01 %;73,32 %
2817;;90 %; Netherlands;WSV de Kogge;96;9; ;0,10 %;77,02 %;0,03 %;73,35 %
2923;;100 %; Denmark;Lemvig;96;96; ;0,10 %;77,12 %;0,36 %;73,71 %
2718;;100 %; Unknown;Roaming station;95;21; ;0,10 %;77,22 %;0,08 %;73,79 %
3254;;100 %; Netherlands;Emmeloord;93;5; ;0,10 %;77,31 %;0,02 %;73,81 %
2607;;100 %; Unknown;Roaming station;93;3; ;0,10 %;77,41 %;0,01 %;73,82 %
3660;;94 %; Australia;Roaming station;92;60; ;0,10 %;77,51 %;0,23 %;74,05 %
2502;;100 %; Australia;Scarborough;91;39; ;0,10 %;77,60 %;0,15 %;74,20 %
