,PORT NAME,STATE,Loaded InBound DOMESTIC,Empty InBound DOMESTIC,Loaded OutBound DOMESTIC,Empty OutBound DOMESTIC,Total DOMESTIC,Loaded InBound FOREIGN,Loaded OutBound  FOREIGN,Total OutBound  FOREIGN,Total Loaded Grand,Year
650,London,,,,,,,,,,51772.780999999995,2021
651,Londonderry,,,,,,,,,,1830.773,2021
652,Manchester,,,,,,,,,,7354.065,2021
653,Medway,,,,,,,,,,9879.306999999999,2021
654,Milford Haven,,,,,,,,,,30321.873,2021
655,Newhaven,,,,,,,,,,986.2439999999999,2021
656,Newport,,,,,,,,,,2768.947,2021
657,Orkney,,,,,,,,,,2778.1200000000003,2021
658,Peterhead,,,,,,,,,,965.98,2021
659,Plymouth,,,,,,,,,,2317.1040000000003,2021
660,Poole ,,,,,,,,,,531.549,2021
661,Port Talbot,,,,,,,,,,7405.728000000001,2021
662,Portsmouth,,,,,,,,,,2981.516,2021
663,Ramsgate ,,,,,,,,,,41.501,2021
664,River Trent,,,,,,,,,,867.198,2021
665,Rivers Hull and Humber ,,,,,,,,,,9561.771999999999,2021
666,Shoreham,,,,,,,,,,1816.4850000000001,2021
667,Southampton,,,,,,,,,,27597.941,2021
668,Stranraer ,,,,,,,,,,0.0,2021
669,Sullom Voe ,,,,,,,,,,6194.407999999999,2021
670,Sunderland,,,,,,,,,,953.481,2021
671,Swansea,,,,,,,,,,399.241,2021
672,Tees and Hartlepool,,,,,,,,,,26831.135000000002,2021
673,Tyne,,,,,,,,,,3972.316,2021
674,Warrenpoint,,,,,,,,,,3612.913,2021
675,Aberdeen,,,,,,,,,,3403.934,2022
676,Belfast,,,,,,,,,,18371.986,2022
677,Boston,,,,,,,,,,650.044,2022
678,Bristol,,,,,,,,,,8528.099,2022
679,Cairnryan,,,,,,,,,,3663.294,2022
680,Cardiff,,,,,,,,,,1317.0919999999999,2022
681,Clyde,,,,,,,,,,9812.491,2022
682,Cromarty Firth ,,,,,,,,,,483.104,2022
683,Dover,,,,,,,,,,18369.291999999998,2022
684,Dundee,,,,,,,,,,534.918,2022
685,Felixstowe,,,,,,,,,,22197.261,2022
686,Fishguard,,,,,,,,,,242.45799999999997,2022
687,Fleetwood ,,,,,,,,,,0.0,2022
688,Forth,,,,,,,,,,20528.99,2022
689,Fowey,,,,,,,,,,352.618,2022
690,Glensanda,,,,,,,,,,6041.0470000000005,2022
691,Goole ,,,,,,,,,,1157.896,2022
692,Great Yarmouth,,,,,,,,,,1687.2730000000001,2022
693,Grimsby and Immingham,,,,,,,,,,50166.01,2022
694,Harwich,,,,,,,,,,4381.98,2022
695,Heysham,,,,,,,,,,5101.027,2022
